"","feature_id","pathway_sortorder","biochemical","super_pathway","sub_pathway","comp_id","platform","chemical_id","ri","mass","cas","pubchem","kegg","group_hmdb"
"53230","53230","1499","3-hydroxyhexanoate","Lipid","Fatty Acid, Monohydroxy","53230","LC/MS Neg","100006367","1725","131.07140000000001","10191-24-9","151492",NA,NA
"553","553","3738","cotinine","Xenobiotics","Tobacco Metabolite","553","LC/MS Pos Early","848","2213","177.10220000000001","486-56-6","854019",NA,"HMDB01046"
"18357","18357","613","glycylvaline","Peptide","Dipeptide","18357","LC/MS Pos Early","100000487","2734","175.10769999999999","1963-21-9","97417",NA,"HMDB28854"
"62291","62291","4030","glucuronide of piperine metabolite C17H21NO3 (4)*","Xenobiotics","Food Component/Plant","62291","LC/MS Neg","100020492","3992","462.17700000000002",NA,NA,NA,NA
"33973","33973","2641","epiandrosterone sulfate","Lipid","Androgenic Steroids","33973","LC/MS Neg","100001287","4855","369.17410000000001","22229-22-7","9929317",NA,NA
"34384","34384","4080","stachydrine","Xenobiotics","Food Component/Plant","34384","LC/MS Pos Early","100001296","1440","144.1019","4136-37-2","115244","C10172","HMDB04827"
"1284","1284","16","threonine","Amino Acid","Glycine, Serine and Threonine Metabolism","1284","LC/MS Pos Early","564","1514","120.0655","72-19-5","6288","C00188","HMDB00167"
"43829","43829","458","gamma-glutamylvaline","Peptide","Gamma-glutamyl Amino Acid","43829","LC/MS Pos Early","100001126","2700","247.12889999999999","2746-34-1","7015683",NA,"HMDB11172"
"38637","38637","3908","cinnamoylglycine","Xenobiotics","Food Component/Plant","38637","LC/MS Neg","100002253","3127","204.06659999999999","16534-24-0","709625",NA,"HMDB11621"
"48679","48679","89","N-acetylhistamine","Amino Acid","Histidine Metabolism","48679","LC/MS Pos Early","100006123","2287","154.0975","673-49-4","69602","C05135","HMDB13253"
"35322","35322","4591","hydroquinone sulfate","Xenobiotics","Drug - Topical Agents","35322","LC/MS Neg","100001604","1395","188.9863","123-31-9","161220","C00530","HMDB02434"
"54960","54960","2338","oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*","Lipid","Diacylglycerol","54960","LC/MS Pos Late","100010936","2907","660.55619999999999",NA,NA,NA,"HMDB07228"
"43493","43493","75","formiminoglutamate","Amino Acid","Histidine Metabolism","43493","LC/MS Pos Early","100002500","1880","175.07130000000001","816-90-0","439233","C00439","HMDB00854"
"2761","2761","202","thyroxine","Amino Acid","Tyrosine Metabolism","2761","LC/MS Neg","1094","4808","775.67939999999999","51-48-9","5819","C01829","HMDB01918"
"1549","1549","316","3-hydroxyisobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","1549","LC/MS Polar","111","1619","103.0401","2068-83-9","87","C06001","HMDB00336"
"47203","47203",NA,"X - 13007",NA,NA,"47203","LC/MS Neg",NA,"4597","329.23379999999997",NA,NA,NA,NA
"18467","18467","1204","eicosapentaenoate (EPA; 20:5n3)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)","18467","LC/MS Neg","2050","5450","301.21730000000002","10-2005-9;10417-94-4","446284","C06428","HMDB01999"
"33230","33230","2020","1-palmitoleoyl-GPC (16:1)*","Lipid","Lysophospholipid","33230","LC/MS Pos Late","100001511","1450","494.32409999999999",NA,"24779461",NA,"HMDB10383"
"21127","21127","2257","1-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol","21127","LC/MS Neg","100000827","6550","255.2329","542-44-9","14900",NA,"HMDB31074"
"33009","33009","3968","homostachydrine*","Xenobiotics","Food Component/Plant","33009","LC/MS Pos Early","100001550","1750","158.11760000000001","1195-94-4","441447","C08283","HMDB33433"
"46173","46173","1108","aconitate [cis or trans]","Energy","TCA Cycle","46173","LC/MS Neg","100001359","580","173.00919999999999",NA,NA,NA,NA
"61700","61700","1542","2-hydroxyarachidate*","Lipid","Fatty Acid, Monohydroxy","61700","LC/MS Neg","100019892","5990","327.29050000000001",NA,"5225199",NA,NA
"37480","37480","2588","5alpha-pregnan-3beta-ol,20-one sulfate","Lipid","Progestin Steroids","37480","LC/MS Neg","100002035","5136","397.2054","7730-00-9",NA,NA,NA
"27710","27710","2","N-acetylglycine","Amino Acid","Glycine, Serine and Threonine Metabolism","27710","LC/MS Pos Early","100001006","826","118.04989999999999","543-24-8","10972",NA,"HMDB00532"
"46686","46686",NA,"X - 17137",NA,NA,"46686","LC/MS Neg",NA,"3497","449.20310000000001",NA,NA,NA,NA
"53034","53034","1523","14-HDoHE/17-HDoHE","Lipid","Fatty Acid, Monohydroxy","53034","LC/MS Neg","100009278","5296","343.22789999999998",NA,NA,NA,NA
"57478","57478","2414","sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*","Lipid","Sphingolipid Metabolism","57478","LC/MS Pos Late","100015792","3500","829.71569999999997",NA,NA,NA,NA
"40406","40406","1711","trimethylamine N-oxide","Lipid","Phospholipid Metabolism","40406","LC/MS Pos Early","100003397","2100","76.075699999999998","1184-78-7","1145","C01104","HMDB00925"
"1552","1552","1191","erucate (22:1n9)","Lipid","Long Chain Fatty Acid","1552","LC/MS Neg","1087","6355.6","337.31119999999999","112-86-7","5281116","C08316","HMDB02068"
"46443","46443",NA,"X - 11442",NA,NA,"46443","LC/MS Neg",NA,"3890","331.13040000000001",NA,NA,NA,NA
"32349","32349","85","4-imidazoleacetate","Amino Acid","Histidine Metabolism","32349","LC/MS Pos Early","100001207","2055","127.0502","645-65-8","96215","C02835","HMDB02024"
"34387","34387","374","N-acetylproline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","34387","LC/MS Pos Early","100001334","1695","158.0812","1074-79-9","322640",NA,NA
"46518","46518",NA,"X - 21473",NA,NA,"46518","LC/MS Neg",NA,"2027.8","263.99700000000001",NA,NA,NA,NA
"47439","47439",NA,"X - 13507",NA,NA,"47439","LC/MS Pos Early",NA,"2520","158.0925",NA,NA,NA,NA
"54917","54917","241","indolepropionylglycine","Amino Acid","Tryptophan Metabolism","54917","LC/MS Neg","100010863","2926","245.0932",NA,"7677842",NA,NA
"32397","32397","299","3-hydroxy-2-ethylpropionate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","32397","LC/MS Neg","100001170","975","117.0557","4374-62-3","188979",NA,"HMDB00396"
"61823","61823","1356","N-linoleoylserine*","Lipid","Fatty Acid, Amide","61823","LC/MS Neg","100019958","5492","366.26499999999999",NA,NA,NA,NA
"2125","2125","350","taurine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","2125","LC/MS Pos Early","512","660","126.02200000000001","107-35-7","1123","C00245","HMDB00251"
"52909","52909",NA,"X - 24588",NA,NA,"52909","LC/MS Neg",NA,"2350","485.16719999999998",NA,NA,NA,NA
"43239","43239","4063","S-allylcysteine","Xenobiotics","Food Component/Plant","43239","LC/MS Pos Early","100004509","2690","162.0583","21593-77-1","98280",NA,"HMDB34323"
"32586","32586","3591","bilirubin (E,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","32586","LC/MS Pos Late","100001950","1045","585.27080000000001","114-25-0","5315454",NA,NA
"37443","37443","348","cysteine sulfinic acid","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","37443","LC/MS Pos Early","100002113","597","154.01689999999999","207121-48-0","109","C00606","HMDB00996"
"52434","52434","2381","palmitoyl dihydrosphingomyelin (d18:0/16:0)*","Lipid","Sphingolipid Metabolism","52434","LC/MS Pos Late","100008954","2290","705.59050000000002",NA,"9939965",NA,NA
"46511","46511",NA,"X - 16938",NA,NA,"46511","LC/MS Neg",NA,"2000","233.10319999999999",NA,NA,NA,NA
"32457","32457","1504","3-hydroxylaurate","Lipid","Fatty Acid, Monohydroxy","32457","LC/MS Neg","100001112","5175","215.1653","53941-38-1","94216",NA,"HMDB00387"
"47957","47957",NA,"X - 13255",NA,NA,"47957","LC/MS Neg",NA,"2203","367.10449999999997",NA,NA,NA,NA
"61866","61866","1304","heptenedioate (C7:1-DC)*","Lipid","Fatty Acid, Dicarboxylate","61866","LC/MS Polar","100019981","2816","157.0506",NA,NA,NA,NA
"1494","1494","431","5-oxoproline","Amino Acid","Glutathione Metabolism","1494","LC/MS Neg","1021","738.5","128.03530000000001","98-79-3","7405","C01879","HMDB00267"
"53243","53243","197","catechol glucuronide","Amino Acid","Tyrosine Metabolism","53243","LC/MS Neg","100009326","1742","285.0616",NA,"75124209",NA,NA
"22202","22202","4764","triethanolamine","Xenobiotics","Chemical","22202","LC/MS Pos Early","100000989","1963","150.11250000000001","102-71-6","7618","C06771","HMDB32538"
"35527","35527","3638","4-hydroxyhippurate","Xenobiotics","Benzoate Metabolism","35527","LC/MS Neg","100001423","1475","194.04589999999999","2482-25-9","151012",NA,"HMDB13678"
"46972","46972",NA,"X - 21796",NA,NA,"46972","LC/MS Neg",NA,"1625","138.0566",NA,NA,NA,NA
"32388","32388","1315","dodecanedioate (C12-DC)","Lipid","Fatty Acid, Dicarboxylate","32388","LC/MS Neg","100001102","2990","229.14449999999999","693-23-2","12736","C02678","HMDB00623"
"46384","46384",NA,"X - 21339",NA,NA,"46384","LC/MS Neg",NA,"5105","453.32260000000002",NA,NA,NA,NA
"42448","42448","1876","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","Lipid","Phosphatidylethanolamine (PE)","42448","LC/MS Pos Late","100001856","2858","746.56939999999997",NA,NA,NA,"HMDB08993"
"52615","52615","2393","sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)","Lipid","Sphingolipid Metabolism","52615","LC/MS Pos Late","100008920","2312","717.59050000000002","121999-64-2",NA,NA,NA
"33173","33173","4275","2-hydroxyacetaminophen sulfate*","Xenobiotics","Drug - Analgesics, Anesthetics","33173","LC/MS Neg","100001791","1674","246.0078",NA,"86290013",NA,NA
"57481","57481","2410","sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*","Lipid","Sphingolipid Metabolism","57481","LC/MS Pos Late","100006293","2039","755.60619999999994",NA,NA,NA,NA
"47654","47654",NA,"X - 11858",NA,NA,"47654","LC/MS Neg",NA,"4414","437.05549999999999",NA,NA,NA,NA
"32405","32405","240","indolepropionate","Amino Acid","Tryptophan Metabolism","32405","LC/MS Neg","100001083","2795","188.07169999999999","830-96-6","3744",NA,"HMDB02302"
"52012","52012",NA,"X - 23984",NA,NA,"52012","LC/MS Neg",NA,"3327.5","165.97890000000001",NA,NA,NA,NA
"46516","46516",NA,"X - 21471",NA,NA,"46516","LC/MS Neg",NA,"4039","295.11200000000002",NA,NA,NA,NA
"22185","22185","35","N-acetylaspartate (NAA)","Amino Acid","Alanine and Aspartate Metabolism","22185","LC/MS Polar","100000787","3143","174.04079999999999","997-55-7;997-55-7","65065","C01042","HMDB00812"
"47938","47938",NA,"X - 12731",NA,NA,"47938","LC/MS Neg",NA,"2040","238.96940000000001",NA,NA,NA,NA
"61785","61785","1401","2-butenoylglycine","Lipid","Fatty Acid Metabolism(Acyl Glycine)","61785","LC/MS Neg","100016110","1380","142.05099999999999","71428-89-2","6303498",NA,NA
"53261","53261","1478","arachidonoylcholine","Lipid","Fatty Acid Metabolism (Acyl Choline)","53261","LC/MS Pos Late","100009332","1390","390.33670000000001",NA,NA,NA,NA
"57467","57467","1223","docosatrienoate (22:3n6)*","Lipid","Polyunsaturated Fatty Acid (n3 and n6)","57467","LC/MS Neg","100015762","5850","333.2799",NA,NA,NA,NA
"37076","37076","10","N-acetylserine","Amino Acid","Glycine, Serine and Threonine Metabolism","37076","LC/MS Polar","100001851","2000","146.04589999999999","97-14-3","65249",NA,"HMDB02931"
"52861","52861",NA,"X - 24540",NA,NA,"52861","LC/MS Neg",NA,"2955.3","261.00779999999997",NA,NA,NA,NA
"46710","46710",NA,"X - 17690",NA,NA,"46710","LC/MS Neg",NA,"2904","245.04859999999999",NA,NA,NA,NA
"53023","53023",NA,"X - 24608",NA,NA,"53023","LC/MS Neg",NA,"3408","174.05590000000001",NA,NA,NA,NA
"37432","37432","3449","N-acetyl-beta-alanine","Nucleotide","Pyrimidine Metabolism, Uracil containing","37432","LC/MS Neg","100002102","773","130.05099999999999","3025-95-4","76406","C01073",NA
"52542","52542",NA,"X - 24346",NA,NA,"52542","LC/MS Neg",NA,"4043.3","445.20780000000002",NA,NA,NA,NA
"52640","52640",NA,"X - 24411",NA,NA,"52640","LC/MS Pos Early",NA,"1171","116.0705",NA,NA,NA,NA
"48782","48782","213","C-glycosyltryptophan","Amino Acid","Tryptophan Metabolism","48782","LC/MS Neg","100006379","1777","365.1354","180509-18-6","10981970",NA,NA
"52446","52446","1879","1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*","Lipid","Phosphatidylethanolamine (PE)","52446","LC/MS Pos Late","100008976","2522","744.55380000000002",NA,"9546749",NA,"HMDB08994"
"27665","27665","3511","1-methylnicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","27665","LC/MS Pos Early","55","1940","137.07089999999999","1005-24-9","10129985","C02918","HMDB00699"
"42092","42092","1396","N-palmitoylglycine","Lipid","Fatty Acid Metabolism(Acyl Glycine)","42092","LC/MS Neg","100003686","5580","312.25439999999998","2441-41-0","151008",NA,"HMDB13034"
"36103","36103","3702","p-cresol sulfate","Xenobiotics","Benzoate Metabolism","36103","LC/MS Neg","100001315","2890","187.00710000000001","3233-57-7","4615423",NA,"HMDB11635"
"31675","31675","57","2-pyrrolidinone","Amino Acid","Glutamate Metabolism","31675","LC/MS Pos Early","100001081","1262","86.06","616-45-5","12025",NA,"HMDB02039"
"49521","49521",NA,"X - 23644",NA,NA,"49521","LC/MS Pos Early",NA,"983","146.08090000000001",NA,NA,NA,NA
"35635","35635","3716","3-(3-hydroxyphenyl)propionate","Xenobiotics","Benzoate Metabolism","35635","LC/MS Neg","100001624","1980","165.0557","621-54-5","91","C11457","HMDB00375"
"46628","46628",NA,"X - 12472",NA,NA,"46628","LC/MS Neg",NA,"2528","241.11940000000001",NA,NA,NA,NA
"47999","47999",NA,"X - 17349",NA,NA,"47999","LC/MS Neg",NA,"2497","367.10410000000002",NA,NA,NA,NA
